system,id,bucket,noise_class,snr_in,clipped,ref_dropout,impulse_peak_db,fault,speech_source,snr_out,si_sdr,stoi,pesq_wb,dnsmos_sig,dnsmos_bak,dnsmos_ovrl,recovery_s,asr_text,category,noise_source,impulse_source
raw,0000,blast_artillery_-10,impulsive+stationary,-10.0,True,False,36.01206832074567,,cvhi:common_voice_hi_37803369,-14.320816993713379,-14.585996627807617,0.44090167135862995,2.368502140045166,1.1669211626423128,1.1331381948257897,1.0788533111606706,0.12,,blast_artillery,mad:helicopter/186_0,synthetic:blast:artillery
raw,0001,blast_artillery_-10,impulsive+stationary,-10.0,False,True,21.82568817644011,,ls:1926-147979-0002,-10.563648223876953,-10.467350006103516,0.5067827379031273,1.0415983200073242,1.204572051930343,1.14360604482001,1.0752066138709038,0.0,,blast_artillery,mad:fighter/086_1,synthetic:blast:artillery
raw,0002,blast_artillery_-10,impulsive+stationary,-10.0,False,False,21.59032985042106,,cvhi:common_voice_hi_26131361,-11.642698287963867,-11.47651481628418,0.4031839403033496,1.0462102890014648,1.1971403365035664,1.176678897682604,1.070154059781603,0.06,,blast_artillery,mad:helicopter/131_2,synthetic:blast:artillery
raw,0003,blast_artillery_-10,impulsive+stationary,-10.0,False,False,36.97860987680753,,ls:2007-132570-0055,-10.80404281616211,-10.953993797302246,0.539497748784038,1.0502493381500244,1.1803044732425114,1.1189199340481015,1.070388693103965,0.02,,blast_artillery,mad:fighter/215_19,synthetic:blast:artillery
raw,0004,blast_artillery_-10,impulsive+stationary,-10.0,False,False,19.772899296850365,,cvhi:common_voice_hi_26897388,-13.539140701293945,-13.850016593933105,0.3837395190275013,1.0894765853881836,1.1724163312102884,1.1213781083138343,1.0897116033251057,0.04,,blast_artillery,mad:fighter/317_2,synthetic:blast:artillery
raw,0005,blast_artillery_-10,impulsive+stationary,-10.0,False,False,25.18483085764729,,cvhi:common_voice_hi_26152437,-12.911291122436523,-13.660649299621582,0.455365932627376,1.0258396863937378,1.177222770144591,1.1378548212259574,1.0695108447985073,0.12,,blast_artillery,mad:helicopter/099_6,synthetic:blast:artillery
raw,0006,blast_artillery_-10,impulsive+stationary,-10.0,True,True,27.825304939712794,,ls:1926-147987-0006,-13.576545715332031,-14.06667709350586,0.5163805667982934,1.0379465818405151,1.169569268622973,1.1286536150897404,1.0858433637879257,0.14,,blast_artillery,mad:fighter/221_6,synthetic:blast:artillery
raw,0007,blast_artillery_-10,impulsive+stationary,-10.0,False,True,42.637550698181386,,cvhi:common_voice_hi_25161549,-15.083918571472168,-15.641509056091309,0.49188573992587276,1.0450553894042969,2.0640084771292355,1.490306520517109,1.4613666748212408,0.22,,blast_artillery,mad:fighter/271_9,synthetic:blast:artillery
raw,0008,blast_artillery_-10,impulsive+stationary,-10.0,False,False,36.29456356914268,,cvhi:common_voice_hi_24359474,-14.993443489074707,-14.675827980041504,0.5278877657695297,1.0480766296386719,1.158188663421096,1.1146315975808645,1.091446093229202,0.04,,blast_artillery,mad:fighter/221_9,synthetic:blast:artillery
raw,0009,blast_artillery_-10,impulsive+stationary,-10.0,False,False,25.104895015212165,,ls:2007-149877-0054,-11.615331649780273,-11.861406326293945,0.5447518556085355,1.096695899963379,1.168243224201004,1.1300385193821887,1.0625700809240364,0.02,,blast_artillery,mad:helicopter/186_6,synthetic:blast:artillery
