system,id,bucket,noise_class,snr_in,clipped,ref_dropout,impulse_peak_db,fault,speech_source,snr_out,si_sdr,stoi,pesq_wb,dnsmos_sig,dnsmos_bak,dnsmos_ovrl,recovery_s,asr_text
cascade:runs/prune/p40/best.pt,0000,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_24360601,7.469627857208252,6.73492431640625,0.9696238895669841,2.006227731704712,2.8504846128881467,4.018462415726076,2.390999914676593,nan,
cascade:runs/prune/p40/best.pt,0001,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_24359451,6.586846351623535,7.326629161834717,0.8880512039851969,1.7075930833816528,2.817914566340256,3.7252128159782565,2.438108072156015,nan,
cascade:runs/prune/p40/best.pt,0002,changing_-10,changing,-10.0,False,False,,,ls:2007-149877-0004,3.6966800689697266,2.9049489498138428,0.7042620397772518,1.1115014553070068,2.293640025698066,3.34333863731385,1.954365061163597,nan,
cascade:runs/prune/p40/best.pt,0003,changing_-10,changing,-10.0,True,False,,,ls:2007-132570-0019,4.504732608795166,3.472599983215332,0.8346753487361801,1.3155388832092285,3.2302430993044915,3.313176213394288,2.6353595118221205,nan,
cascade:runs/prune/p40/best.pt,0004,changing_-10,changing,-10.0,False,False,,,ls:1081-125237-0075,7.789173603057861,7.438845634460449,0.8726073746064599,1.4485411643981934,3.4182011818566034,4.09562580629599,3.099420996692519,nan,
cascade:runs/prune/p40/best.pt,0005,changing_-10,changing,-10.0,True,False,,,ls:1081-128618-0002,4.958828926086426,3.965745210647583,0.6124105850642736,1.8206095695495605,3.1214802972355065,4.005470787378059,2.7798571304526623,nan,
cascade:runs/prune/p40/best.pt,0006,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_30625449,4.8072614669799805,3.7296805381774902,0.7912893308252965,1.2490768432617188,3.0487405209843383,3.9029395853582827,2.651504644934779,nan,
cascade:runs/prune/p40/best.pt,0007,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_35081300,7.908232688903809,8.307466506958008,0.728183632254208,1.224334955215454,2.4260358363079044,3.571584876044159,1.9341719511368687,nan,
cascade:runs/prune/p40/best.pt,0008,changing_-10,changing,-10.0,False,False,,,ls:1081-125237-0034,3.539370536804199,1.060267448425293,0.7222131845097353,1.1319552659988403,3.452903913531323,3.8890265819385403,3.084245802601105,nan,
cascade:runs/prune/p40/best.pt,0009,changing_-10,changing,-10.0,False,True,,,cvhi:common_voice_hi_27761653,2.933103084564209,0.07993500679731369,0.6621620283258073,1.3203818798065186,2.6654914728524806,3.2609962112242465,2.013110988135357,nan,
cascade:runs/prune/p40/best.pt,0010,changing_-10,changing,-10.0,False,True,,,cvhi:common_voice_hi_26131771,0.31253141164779663,0.08724196255207062,0.8478849097456505,2.354214668273926,2.6288513774099473,3.7612696523712987,2.2905002731898882,nan,
cascade:runs/prune/p40/best.pt,0011,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_26131962,5.130916118621826,4.850090026855469,0.7390791830993505,1.229439377784729,2.3502340628888727,3.5162294336373408,2.111808613070271,nan,
