bank,class,metric,n,median,p10,p90
bank_r8,all,t30_noise_primary_s,5000,0.21455490747102796,0.12513022910196753,0.632034414196372
bank_r8,all,t30_noise_ref_s,5000,0.21455066866140585,0.126000641379425,0.6314016934997199
bank_r8,all,late100_rel_noise_primary_db,5000,-23.4190532852125,-45.88078067106835,-9.983111484039204
bank_r8,all,drr_speech_primary_db,5000,27.93985384770562,23.889202108879704,32.37114186245609
bank_r8,all,speech_ild_db,5000,11.907200278653765,11.23340036521569,11.95362355546697
bank_r8,all,late_env_corr_noise,5000,0.9999959305600514,0.9973568481543355,0.9999996409820213
bank_r8,all,late_env_rms_diff_noise_db,5000,0.29268416338751174,0.07621909173546063,1.041232903434349
bank_r8,all,late_wave_corr_noise,5000,0.29315622416269116,-0.0020247048548236194,0.7399792979275989
bank_r8,all,rt60_drawn,5000,0.34761156141757965,0.1532115414738655,0.6526495516300203
bank_r8,armoured,t30_noise_primary_s,1000,0.6324503195809739,0.4275294065552482,0.8184660523352524
bank_r8,armoured,t30_noise_ref_s,1000,0.6316265724083475,0.42771467974814686,0.8168479234624265
bank_r8,armoured,late100_rel_noise_primary_db,1000,-9.976698164596263,-14.61664518377362,-7.936805588510614
bank_r8,armoured,drr_speech_primary_db,1000,24.022910407511027,21.15750961927095,25.35359004777826
bank_r8,armoured,speech_ild_db,1000,11.23285889341255,10.566674058827815,11.689169019424982
bank_r8,armoured,late_env_corr_noise,1000,0.9975527811553189,0.9961996234045575,0.9985774727558241
bank_r8,armoured,late_env_rms_diff_noise_db,1000,0.9452301399930955,0.8154836367016405,1.097607727284249
bank_r8,armoured,late_wave_corr_noise,1000,-0.0015782901351749485,-0.03741895020066716,0.0359796970264007
bank_r8,armoured,rt60_drawn,1000,0.6527428925037384,0.4447519421577454,0.8480714440345765
bank_r8,plain,t30_noise_primary_s,4000,0.19749263937797756,0.11444549748509632,0.2545382825088348
bank_r8,plain,t30_noise_ref_s,4000,0.1972495474402825,0.11429704002624329,0.2541938513954684
bank_r8,plain,late100_rel_noise_primary_db,4000,-26.215126532937862,-47.62353349353292,-18.49975323648084
bank_r8,plain,drr_speech_primary_db,4000,28.744598302080092,25.76859175686483,32.70571821025612
bank_r8,plain,speech_ild_db,4000,11.919004910164594,11.862782872983747,11.956021768052914
bank_r8,plain,late_env_corr_noise,4000,0.9999974330651624,0.9999678845388316,0.9999997124722922
bank_r8,plain,late_env_rms_diff_noise_db,4000,0.23139636373262626,0.06556183829951093,0.7692867214652405
bank_r8,plain,late_wave_corr_noise,4000,0.35925172592262633,0.15522407411207206,0.8200010923642694
bank_r8,plain,rt60_drawn,4000,0.299159973859787,0.14147256165742875,0.45687216222286225
bank_r3,all,t30_noise_primary_s,5000,0.21493782758033614,0.12860321817965673,0.6354609527027585
bank_r3,all,t30_noise_ref_s,5000,0.2141367887444908,0.1285977182401138,0.6326360357740551
bank_r3,all,late100_rel_noise_primary_db,5000,-23.357394015991627,-45.07388715847828,-10.054988299031542
bank_r3,all,drr_speech_primary_db,5000,27.80202892119702,23.956123484551753,32.28498604261849
bank_r3,all,speech_ild_db,5000,11.905365940100085,11.227549949270063,11.952762322341211
bank_r3,all,late_env_corr_noise,4999,0.9999960191683349,0.9975511192569398,0.9999996332617448
bank_r3,all,late_env_rms_diff_noise_db,5000,0.29050382562787547,0.07657066430670835,0.9729500964668404
bank_r3,all,late_wave_corr_noise,5000,0.305034632437388,-0.0010499262286364336,0.7226052590241879
bank_r3,all,rt60_drawn,5000,0.3526212126016617,0.1555370420217514,0.6518937885761263
bank_r3,armoured,t30_noise_primary_s,1000,0.6356209513514812,0.43201001912812936,0.813269016549685
bank_r3,armoured,t30_noise_ref_s,1000,0.6331455823514279,0.433097419877728,0.8122404089493802
bank_r3,armoured,late100_rel_noise_primary_db,1000,-10.05075884410625,-14.37876589752947,-7.929104400586788
bank_r3,armoured,drr_speech_primary_db,1000,24.086708402625412,21.68698213384099,25.373679085154823
bank_r3,armoured,speech_ild_db,1000,11.227079301106528,10.582932707426457,11.706009233456253
bank_r3,armoured,late_env_corr_noise,1000,0.9977680110045346,0.9963798481933073,0.9988039385613655
bank_r3,armoured,late_env_rms_diff_noise_db,1000,0.8967020581790721,0.786485704687312,1.0249995747407652
bank_r3,armoured,late_wave_corr_noise,1000,-0.00034178934979627225,-0.03813327648136596,0.03776229799421124
bank_r3,armoured,rt60_drawn,1000,0.6522201597690582,0.44874736070632937,0.8448788046836853
bank_r3,plain,t30_noise_primary_s,4000,0.1973800458505824,0.11830168917832504,0.25538992082332285
bank_r3,plain,t30_noise_ref_s,4000,0.19739296454666505,0.11824266129374546,0.25466540176741326
bank_r3,plain,late100_rel_noise_primary_db,4000,-26.193780442590757,-47.06753647482888,-18.617542138148206
bank_r3,plain,drr_speech_primary_db,4000,28.62575019254127,25.695071958941316,32.64463361324054
bank_r3,plain,speech_ild_db,4000,11.917561699881444,11.862725928235333,11.95558278313681
bank_r3,plain,late_env_corr_noise,3999,0.9999974248841512,0.9999706163324432,0.999999721261562
bank_r3,plain,late_env_rms_diff_noise_db,4000,0.2317362599520329,0.0652448379864352,0.7272115855585524
bank_r3,plain,late_wave_corr_noise,4000,0.37020323067561356,0.1586602643187721,0.7949456009875746
bank_r3,plain,rt60_drawn,4000,0.30188822746276855,0.1463329941034317,0.4601874679327011
