i,seed,scene,ref_mode,near,wind,m2_bucket,ref_speech_gain_db,snr_db,clipped,n_speech,n_noise,auc_item
0,55,command_post,physical,none,no,physical,-18.946006628146606,1.8021326065063477,False,8783,13410,0.9988806843757629
1,56,patrol,physical,pos,no,physical,-11.446101247184238,19.559659957885742,False,11764,4066,0.9016039967536926
2,57,artillery,physical,pos,no,physical,-13.918328256133659,20.876638412475586,True,22930,1772,0.8500110507011414
3,58,command_post,physical,pos,no,physical,-13.203365401821436,15.144598007202148,False,11307,12970,0.7669267654418945
4,59,windy_ridge,physical,pos,yes,physical,-9.418867280798281,-14.38432502746582,True,2978,14207,0.7722123861312866
5,60,patrol,physical,pos,no,physical,-10.260097984469773,4.161652088165283,False,1141,70125,0.8641889095306396
6,61,windy_ridge,physical,pos,yes,physical,-13.31427012270365,-5.777550220489502,False,4734,13025,0.8559305667877197
7,62,drone,low_ild,pos,no,-6..+3,-4.932356713101079,6.9088006019592285,False,11373,16599,0.9839694499969482
8,63,command_post,physical,pos,no,physical,-9.154602403480396,5.6182379722595215,False,3757,63423,0.7664850950241089
9,64,artillery,stereo,none,yes,-6..+3,0.11795460102544197,13.9037504196167,False,14421,4525,0.3452380895614624
10,65,artillery,physical,none,no,physical,-11.648322010113063,29.647499084472656,False,31188,939,0.9359597563743591
11,66,drone,mono,pos,no,-6..+3,0.0,9.209821701049805,False,3917,58132,0.5000000596046448
12,67,patrol,physical,pos,no,physical,-11.342787080154373,28.296287536621094,False,24958,522,0.912544846534729
13,68,windy_ridge,low_ild,none,yes,-6..+3,0.7415664342007595,17.081769943237305,False,9903,3016,0.36897534132003784
14,69,artillery,stereo,unspatialised,no,-6..+3,0.6437558222850726,20.08755874633789,True,37412,4165,0.42094993591308594
15,70,drone,low_ild,pos,no,-6..+3,-3.8847638922914456,6.105353832244873,False,5101,22073,0.7583624720573425
16,71,artillery,physical,pos,no,physical,-13.076936200528678,18.227821350097656,True,29881,4022,0.6465078592300415
17,72,patrol,physical,pos,yes,physical,-12.856954172316577,20.58282470703125,False,16720,4585,0.8909132480621338
18,73,firefight,low_ild,pos,no,-6..+3,0.9501737378850486,8.960274696350098,False,14585,31061,0.25495967268943787
19,74,artillery,low_ild,pos,yes,-6..+3,2.1128030634042716,15.958845138549805,False,31876,4536,0.2467365264892578
20,75,apc,physical,none,no,physical,-19.569054466285557,-12.516483306884766,True,6240,49982,0.8898610472679138
21,76,command_post,low_ild,none,no,-6..+3,-3.494710549734613,10.122629165649414,False,7793,18281,0.9252225756645203
22,77,helicopter,physical,pos,no,physical,-13.573390286730827,-12.321910858154297,True,1861,71983,0.8159939646720886
23,78,command_post,stereo,unspatialised,no,-6..+3,-0.7721152317842055,3.630481004714966,False,3546,58968,0.548296332359314
24,79,patrol,physical,pos,yes,physical,-16.427559934562623,21.91143798828125,False,21996,710,0.9500882625579834
25,80,patrol,physical,pos,no,physical,-13.035543394960662,15.58121109008789,False,10465,14215,0.9168477654457092
26,81,apc,physical,pos,no,physical,-14.913417338208157,-14.882392883300781,True,1416,52079,0.7528770565986633
27,82,command_post,low_ild,none,no,-6..+3,-1.5363526415714333,-0.5864088535308838,False,1577,66063,0.9799840450286865
28,83,patrol,physical,pos,no,physical,-13.655063443902208,25.927989959716797,False,18738,1102,0.9174187183380127
29,84,command_post,physical,pos,no,physical,-14.746465684396227,2.566314935684204,False,2284,69734,0.9457318186759949
30,85,artillery,stereo,none,no,-6..+3,0.9182859234148673,28.71996307373047,False,22750,600,0.2238323837518692
31,86,apc,physical,pos,no,physical,-13.731468763774906,-12.055383682250977,True,732,82236,0.5656558871269226
32,87,windy_ridge,physical,pos,yes,physical,-19.85194889802837,-0.801652729511261,False,16343,10836,0.9363522529602051
33,88,drone,physical,pos,no,physical,-15.706555418597652,17.060911178588867,False,14110,3154,0.9576672315597534
34,89,windy_ridge,physical,pos,yes,physical,-15.997238883043003,3.4622907638549805,False,10262,9247,0.880089521408081
35,90,drone,physical,pos,no,physical,-14.283400405469997,18.958223342895508,False,17174,6380,0.9314779043197632
36,91,command_post,physical,pos,no,physical,-12.50420136961445,12.365245819091797,False,12535,9926,0.8059250712394714
37,92,patrol,mono,pos,no,-6..+3,0.0,19.00395965576172,False,16058,5776,0.5
38,93,artillery,physical,pos,no,physical,-10.49029775839887,21.131879806518555,False,21356,3592,0.9179642796516418
39,94,windy_ridge,physical,pos,yes,physical,-15.835329371694293,-5.459433078765869,False,6247,12968,0.8769125938415527
40,95,command_post,physical,none,no,physical,-15.403044780798268,0.7695242166519165,False,5597,58276,0.9394778609275818
41,96,drone,mono,pos,no,-6..+3,0.0,16.488927841186523,False,11115,14923,0.5
42,97,firefight,physical,pos,yes,physical,-19.15948789247879,4.349662780761719,False,10882,36719,0.9604984521865845
43,98,command_post,physical,neg,no,physical,-10.822891099923993,4.09525728225708,False,3897,50154,0.74965900182724
44,99,helicopter,physical,pos,yes,physical,-11.099281899703417,-20.293123245239258,True,536,65712,0.6082192659378052
45,100,helicopter,physical,none,yes,physical,-16.74442347653276,-5.47337007522583,True,5536,24376,0.9082567691802979
46,101,firefight,physical,pos,no,physical,-11.778589157984928,15.081185340881348,True,22947,9721,0.8660737872123718
47,102,helicopter,low_ild,pos,no,-6..+3,-2.8900508171746075,-4.698622703552246,True,1721,74717,0.2669570744037628
