i,seed,scene,ref_mode,near,wind,m2_bucket,ref_speech_gain_db,snr_db,clipped,n_speech,n_noise,auc_item
0,55,command_post,physical,none,no,physical,-18.946006633352788,0.7885083556175232,False,4514,59509,0.8511490225791931
1,56,patrol,physical,pos,no,physical,-11.446101194390323,24.12242889404297,False,11419,3737,0.5637747049331665
2,57,artillery,physical,neg,no,physical,-13.918328500490176,24.754541397094727,True,22241,1726,0.9074189066886902
3,58,command_post,physical,pos,no,physical,-13.203365302686464,16.25063705444336,False,11593,14130,0.7174196243286133
4,59,windy_ridge,physical,neg,yes,physical,-9.41886721833555,-14.406110763549805,True,2915,14216,0.7764776349067688
5,60,patrol,physical,pos,no,physical,-10.260098306464698,4.637827396392822,False,1247,64271,0.6121002435684204
6,61,windy_ridge,physical,neg,yes,physical,-13.314270273147734,-5.778583526611328,False,4690,12977,0.8555417656898499
7,62,drone,low_ild,pos,no,-6..+3,-4.9323565220488845,7.9258012771606445,False,10892,16414,0.9032669067382812
8,63,command_post,physical,neg,no,physical,-9.154602842713714,6.4560933113098145,False,4033,57581,0.8397359848022461
9,64,artillery,stereo,none,yes,-6..+3,0.11795219015518654,15.381359100341797,False,14132,3790,0.35953986644744873
10,65,artillery,physical,none,no,physical,-11.64832279295672,30.035873413085938,False,30255,860,0.9287149310112
11,66,drone,mono,pos,no,-6..+3,0.0,9.451190948486328,False,4342,53528,0.4999999701976776
12,67,patrol,physical,pos,no,physical,-11.342786868090329,27.844581604003906,False,24576,588,0.7248219847679138
13,68,windy_ridge,low_ild,none,yes,-6..+3,0.7415665554535522,9.069679260253906,False,8152,3960,0.36449119448661804
14,69,artillery,stereo,unspatialised,no,-6..+3,0.6448349511134026,20.11808204650879,True,38044,6729,0.3308062255382538
15,70,drone,low_ild,pos,no,-6..+3,-3.8847638669026665,9.885557174682617,False,5058,23665,0.713594377040863
16,71,artillery,physical,pos,no,physical,-13.076936034104605,14.279489517211914,True,29833,3736,0.6130732893943787
17,72,patrol,physical,pos,yes,physical,-12.856954518032857,18.430822372436523,False,16766,4521,0.8181558847427368
18,73,firefight,low_ild,pos,no,-6..+3,0.9501735548721584,9.03807544708252,False,13970,32773,0.3286805748939514
19,74,artillery,low_ild,pos,yes,-6..+3,2.112802805418074,16.711170196533203,False,32250,4186,0.2174450308084488
20,75,apc,physical,none,no,physical,-19.569054215027556,-13.045942306518555,True,4925,49091,0.8665146231651306
21,76,command_post,low_ild,none,no,-6..+3,-3.4947103193067974,10.035146713256836,False,8115,16842,0.7519527077674866
22,77,helicopter,physical,pos,no,physical,-13.573390521508905,-12.771063804626465,True,1750,71134,0.7597307562828064
23,78,command_post,stereo,unspatialised,no,-6..+3,-0.7721152193555199,3.0202829837799072,False,3632,58087,0.4840391278266907
24,79,patrol,physical,pos,yes,physical,-16.427560172356074,14.21016788482666,False,20623,1564,0.9270070791244507
25,80,patrol,physical,pos,no,physical,-13.035543157957932,15.651472091674805,False,11035,13875,0.690514862537384
26,81,apc,physical,pos,no,physical,-14.91341732926502,-22.676769256591797,True,503,35484,0.6396145224571228
27,82,command_post,low_ild,none,no,-6..+3,-1.5363523155140726,0.11098673939704895,False,1835,60006,0.796085774898529
28,83,patrol,physical,pos,no,physical,-13.655063304247967,26.778926849365234,False,18348,920,0.8437114357948303
29,84,command_post,physical,pos,no,physical,-14.74646605585118,1.9490931034088135,False,2437,69227,0.7629815936088562
30,85,artillery,stereo,none,no,-6..+3,0.918286491230031,28.759347915649414,False,22490,953,0.2746676802635193
31,86,apc,physical,pos,no,physical,-13.731468757476389,-11.492321014404297,True,773,83358,0.5941387414932251
32,87,windy_ridge,physical,pos,yes,physical,-19.851949074094932,-0.8249861001968384,False,17301,11244,0.9346591830253601
33,88,drone,physical,pos,no,physical,-15.706555201129653,17.64835548400879,False,14143,3008,0.849936306476593
34,89,windy_ridge,physical,neg,yes,physical,-15.997238644456981,3.462291717529297,False,10149,9187,0.8822156190872192
35,90,drone,physical,pos,no,physical,-14.283400587222552,20.978187561035156,False,17053,6164,0.9139708280563354
36,91,command_post,physical,pos,no,physical,-12.504200989177896,10.973109245300293,False,13088,10005,0.7855625748634338
37,92,patrol,mono,pos,no,-6..+3,0.0,21.095876693725586,False,16633,5515,0.5000000596046448
38,93,artillery,physical,pos,no,physical,-10.490297366432898,20.42136001586914,False,21480,3904,0.8946745991706848
39,94,windy_ridge,physical,pos,yes,physical,-15.835328854861952,-5.449585914611816,False,6385,12934,0.8731622099876404
40,95,command_post,physical,none,no,physical,-15.403044770625307,4.292555809020996,False,7666,43617,0.8577702045440674
41,96,drone,mono,pos,no,-6..+3,0.0,16.981565475463867,False,11309,11421,0.5
42,97,firefight,physical,pos,yes,physical,-19.159488712375126,5.41229772567749,False,9835,40760,0.8673034906387329
43,98,command_post,physical,neg,no,physical,-10.822891066570392,4.758081912994385,False,4511,45856,0.6787428855895996
44,99,helicopter,physical,pos,yes,physical,-11.099282415782909,-19.6296329498291,True,560,65783,0.6254936456680298
45,100,helicopter,physical,none,yes,physical,-16.744423154322632,-5.431062698364258,True,5479,23699,0.9087260961532593
46,101,firefight,physical,pos,no,physical,-11.77858955577646,13.182068824768066,True,18987,14147,0.7835127115249634
47,102,helicopter,low_ild,pos,no,-6..+3,-2.890050500822994,-4.982964515686035,True,1716,76361,0.32006514072418213
