i,seed,scene,ref_mode,near,wind,m2_bucket,ref_speech_gain_db,snr_db,clipped,n_speech,n_noise,auc_item
0,202:0,firefight,low_ild,pos,no,-6..+3,-1.6272031388934742,16.375091552734375,True,15777,11451,0.3742922246456146
1,202:1,artillery,stereo,unspatialised,no,-6..+3,0.17249771509341016,14.369898796081543,False,13893,6765,0.4562430679798126
2,202:2,apc,physical,pos,no,physical,-16.35514730455016,-9.423660278320312,True,682,83647,0.678231954574585
3,202:3,windy_ridge,mono,pos,yes,-6..+3,0.0,6.895787715911865,False,12532,9280,0.5
4,202:4,command_post,physical,pos,no,physical,-16.85900367002167,-11.418919563293457,False,5110,34163,0.8507449626922607
5,202:5,patrol,physical,pos,no,physical,-14.466378514662914,7.517322540283203,False,3352,37111,0.883700966835022
6,202:6,patrol,physical,none,no,physical,-8.749460292702253,39.48960876464844,False,32591,3,0.8349135518074036
7,202:7,apc,low_ild,neg,no,-6..+3,2.5138479155111852,-9.45949935913086,True,4701,61349,0.7303242683410645
8,202:8,firefight,physical,pos,no,physical,-13.483928501376006,-6.463739395141602,True,5187,27452,0.7098214626312256
9,202:9,command_post,mono,neg,no,-6..+3,0.0,13.668103218078613,False,12969,13134,0.5
10,202:10,patrol,low_ild,pos,no,-6..+3,-2.93491927689751,33.236656188964844,False,26699,300,0.5730611681938171
11,202:11,helicopter,physical,neg,yes,physical,-13.789463867032953,-12.089613914489746,True,1247,76529,0.7394585609436035
12,202:12,command_post,mono,neg,no,-6..+3,0.0,-0.7799904942512512,False,10201,33779,0.5
13,202:13,apc,physical,pos,no,physical,-9.001651978158428,-5.9639811515808105,True,410,85027,0.6282162666320801
14,202:14,patrol,low_ild,pos,no,-6..+3,-3.712894290709478,17.664295196533203,False,10378,4975,0.320094496011734
15,202:15,command_post,physical,pos,no,physical,-14.064583981330138,5.091104507446289,False,5581,15171,0.7715370059013367
16,202:16,apc,physical,pos,no,physical,-14.892187355442339,-18.837669372558594,True,740,65127,0.5899035334587097
17,202:17,patrol,physical,pos,no,physical,-9.668709537698916,8.038288116455078,False,4565,29862,0.6061913371086121
18,202:18,patrol,mono,pos,no,-6..+3,0.0,27.06618881225586,False,17141,2142,0.5000001192092896
19,202:19,apc,physical,pos,no,physical,-8.76687292122562,-4.718949317932129,True,753,83759,0.6004661917686462
20,202:20,firefight,stereo,unspatialised,no,-6..+3,-0.8746225524383249,9.111282348632812,True,14251,24624,0.5744772553443909
21,202:21,windy_ridge,stereo,unspatialised,yes,-6..+3,0.9099537887403173,11.086649894714355,False,9856,3502,0.2896164059638977
22,202:22,windy_ridge,low_ild,pos,yes,-6..+3,-2.6989242939518405,7.77405309677124,False,15363,7432,0.5822444558143616
23,202:23,patrol,low_ild,pos,no,-6..+3,1.051767270211755,22.524898529052734,False,12762,4209,0.22112183272838593
24,202:24,apc,low_ild,neg,no,-6..+3,0.11009376773007418,-7.538609027862549,True,2029,75352,0.7879447340965271
25,202:25,apc,mono,pos,no,-6..+3,0.0,-20.69659423828125,True,165,80286,0.5
26,202:26,command_post,physical,pos,no,physical,-13.999649842663608,3.6681506633758545,False,14069,30626,0.8952001929283142
27,202:27,command_post,low_ild,pos,no,-6..+3,-0.985798182888864,4.614917278289795,False,3090,49779,0.049963053315877914
28,202:28,helicopter,physical,pos,yes,physical,-14.61270635920107,-19.345388412475586,True,1031,61649,0.7072595357894897
29,202:29,patrol,physical,none,no,physical,-11.289383409579031,37.01177978515625,False,14006,372,0.9640445709228516
30,202:30,patrol,mono,pos,no,-6..+3,0.0,24.34198570251465,False,34576,1985,0.49999988079071045
31,202:31,helicopter,stereo,unspatialised,yes,-6..+3,0.5474288028735366,-14.062938690185547,True,110,92665,0.4019791781902313
32,202:32,windy_ridge,physical,pos,yes,physical,-11.222009617778944,11.803997039794922,False,30339,3478,0.8754159808158875
33,202:33,firefight,physical,none,no,physical,-12.494591178648271,26.38494300842285,False,17485,2928,0.9222668409347534
34,202:34,command_post,low_ild,pos,no,-6..+3,-5.633514193392465,1.5973947048187256,False,6363,4107,0.5498421788215637
35,202:35,helicopter,physical,neg,yes,physical,-15.30523138078016,-20.926239013671875,True,212,70084,0.49234461784362793
36,202:36,drone,physical,none,yes,physical,-9.09751992554839,15.721004486083984,False,15460,8334,0.5433938503265381
37,202:37,artillery,physical,neg,yes,physical,-16.843569398963876,20.733169555664062,True,8646,2050,0.9509778022766113
38,202:38,windy_ridge,physical,pos,yes,physical,-19.12857503701089,-4.155496597290039,False,10254,13419,0.923143744468689
39,202:39,patrol,mono,none,no,-6..+3,0.0,10.488094329833984,False,7487,7216,0.5
40,202:40,command_post,physical,pos,no,physical,-11.913727524286116,2.1237967014312744,False,6224,31944,0.8578161001205444
41,202:41,command_post,physical,pos,no,physical,-16.82737309083619,6.186390399932861,False,7437,49362,0.8074772357940674
42,202:42,artillery,physical,pos,no,physical,-13.857921832300047,12.991652488708496,False,21233,7309,0.8936156630516052
43,202:43,apc,physical,none,no,physical,-15.25969567962644,-1.7642475366592407,True,5450,25546,0.9102281332015991
44,202:44,command_post,physical,pos,no,physical,-13.836939268296135,5.630069732666016,False,6382,31632,0.8723209500312805
45,202:45,windy_ridge,physical,pos,yes,physical,-10.759108468259306,-4.40244722366333,False,8709,8021,0.8072823286056519
46,202:46,firefight,physical,none,no,physical,-9.252071545008596,13.871835708618164,True,12645,9930,0.9267099499702454
47,202:47,drone,low_ild,pos,no,-6..+3,2.712672639814272,16.15155792236328,False,4700,20631,0.04941215366125107
48,202:48,firefight,physical,pos,yes,physical,-13.847864374619821,-4.656870365142822,False,9174,19726,0.8262148499488831
49,202:49,apc,physical,neg,no,physical,-10.206617967762721,-22.708742141723633,True,155,71372,0.5147925019264221
50,202:50,command_post,low_ild,pos,no,-6..+3,-1.760139405904951,1.7715160846710205,False,10609,26645,0.8678194284439087
51,202:51,command_post,physical,pos,no,physical,-13.898901263045268,22.167625427246094,False,12090,1710,0.9397557377815247
52,202:52,firefight,low_ild,pos,yes,-6..+3,-3.811134318555034,20.771991729736328,True,26498,11036,0.4672166109085083
53,202:53,windy_ridge,low_ild,pos,yes,-6..+3,-0.2306682051790716,-8.460994720458984,False,6022,12686,0.44613534212112427
54,202:54,command_post,physical,neg,no,physical,-12.670252096014565,6.195602893829346,False,8046,39613,0.7234461307525635
55,202:55,windy_ridge,low_ild,pos,yes,-6..+3,1.536211832779415,10.08798599243164,False,9924,3665,0.3247132897377014
56,202:56,drone,physical,pos,no,physical,-13.816157606249277,15.611478805541992,False,13819,9133,0.932714581489563
57,202:57,artillery,low_ild,pos,no,-6..+3,-2.883906689276536,20.313365936279297,False,11555,3549,0.7170917987823486
58,202:58,firefight,mono,pos,yes,-6..+3,0.0,14.411031723022461,True,19431,16156,0.4999999403953552
59,202:59,patrol,low_ild,pos,no,-6..+3,1.287376521465589,27.176591873168945,False,14581,1557,0.03752272576093674
60,202:60,windy_ridge,physical,pos,yes,physical,-13.371198772552361,1.6632508039474487,False,10733,6847,0.8659318089485168
61,202:61,apc,physical,pos,no,physical,-12.297801811051166,-12.028266906738281,True,400,84805,0.48037609457969666
62,202:62,command_post,physical,pos,no,physical,-11.111443323980332,0.26302090287208557,False,6106,48324,0.7655618190765381
63,202:63,firefight,physical,pos,no,physical,-9.174088000103065,21.355009078979492,False,15209,8298,0.6880144476890564
64,202:64,windy_ridge,mono,pos,yes,-6..+3,0.0,-6.820950031280518,True,15368,15519,0.5
65,202:65,apc,low_ild,pos,no,-6..+3,-5.676131060081474,-12.84776496887207,True,1145,65450,0.585816502571106
66,202:66,patrol,physical,pos,no,physical,-11.517189739969389,35.02292251586914,False,18442,21,0.9461632370948792
67,202:67,patrol,mono,pos,no,-6..+3,0.0,14.24234390258789,False,13407,20197,0.5
68,202:68,helicopter,low_ild,pos,yes,-6..+3,-0.09314077600250315,-5.552073001861572,True,4651,46404,0.2790164649486542
69,202:69,patrol,physical,pos,yes,physical,-15.158134018354204,12.940132141113281,False,10371,6268,0.8841924071311951
70,202:70,patrol,low_ild,pos,no,-6..+3,2.0540991198487504,17.376476287841797,False,14501,4882,0.027398301288485527
71,202:71,windy_ridge,physical,pos,yes,physical,-16.600853486926557,-7.521459579467773,False,4090,9529,0.859380304813385
72,202:72,windy_ridge,physical,pos,yes,physical,-10.669026758147254,-12.98115348815918,True,1732,13486,0.8315249085426331
73,202:73,patrol,physical,pos,no,physical,-16.148901664093884,9.330318450927734,False,10477,9580,0.8953055739402771
74,202:74,artillery,low_ild,none,no,-6..+3,-4.334221380037349,36.542972564697266,False,25695,37,0.37835943698883057
75,202:75,patrol,low_ild,neg,no,-6..+3,-0.43770241593920645,22.807029724121094,False,16510,6153,0.7763460874557495
76,202:76,helicopter,physical,pos,no,physical,-16.59303064151797,-6.150205135345459,True,719,68666,0.6013252139091492
77,202:77,windy_ridge,physical,none,yes,physical,-14.99286210172378,0.06679753214120865,False,9130,13255,0.8814330697059631
78,202:78,firefight,physical,pos,no,physical,-13.439245679388108,2.1312901973724365,True,21928,14983,0.7916281819343567
79,202:79,firefight,low_ild,pos,no,-6..+3,-3.12937332081016,12.00628662109375,False,9858,20709,0.35324040055274963
80,202:80,drone,physical,pos,no,physical,-13.04621456947529,17.855318069458008,False,15198,18122,0.7451174259185791
81,202:81,firefight,physical,pos,no,physical,-10.139073727884298,18.34617042541504,False,9714,29340,0.5798547267913818
82,202:82,artillery,physical,pos,no,physical,-14.34042409814468,13.979965209960938,False,13119,13589,0.8683414459228516
83,202:83,patrol,physical,pos,no,physical,-16.433862158894584,34.145050048828125,False,8065,140,0.6676609516143799
84,202:84,firefight,stereo,unspatialised,yes,-6..+3,-0.7737026223549073,20.846378326416016,False,25483,5964,0.5290675163269043
85,202:85,patrol,physical,pos,no,physical,-14.383827187783616,10.01465892791748,False,11201,10019,0.7397962212562561
86,202:86,drone,mono,pos,no,-6..+3,0.0,8.937713623046875,False,7130,15865,0.4999999701976776
87,202:87,artillery,physical,neg,no,physical,-9.870813089955526,24.82720947265625,True,24999,2042,0.857581615447998
88,202:88,apc,physical,pos,no,physical,-13.51552583101271,-16.41059112548828,True,1196,69865,0.7758088111877441
89,202:89,artillery,physical,pos,no,physical,-9.990676789024047,23.567197799682617,True,17250,2584,0.7815989851951599
