i,seed,scene,ref_mode,near,wind,m2_bucket,ref_speech_gain_db,snr_db,clipped,n_speech,n_noise,auc_item
0,5150:0,windy_ridge,physical,pos,yes,physical,-9.44779682386519,-11.454574584960938,True,9862,15485,0.7925379872322083
1,5150:1,apc,low_ild,pos,no,-6..+3,2.402529184278958,-14.410694122314453,True,486,55486,0.2829265892505646
2,5150:2,windy_ridge,physical,pos,yes,physical,-16.039052438456558,11.314323425292969,False,11436,3897,0.9283623099327087
3,5150:3,helicopter,physical,neg,no,physical,-9.104919672443494,-13.214111328125,True,162,92750,0.7814872860908508
4,5150:4,command_post,physical,pos,no,physical,-15.185354596558987,10.348896026611328,False,6802,47036,0.810312807559967
5,5150:5,firefight,physical,pos,no,physical,-16.112390197523165,27.377429962158203,True,10234,1938,0.9497671723365784
6,5150:6,command_post,physical,pos,no,physical,-12.10656176007572,7.864381790161133,False,6750,24086,0.6075730919837952
7,5150:7,drone,physical,none,yes,physical,-15.591619621510866,10.684642791748047,False,15786,3761,0.9172085523605347
8,5150:8,firefight,low_ild,pos,no,-6..+3,-1.4583119848802077,10.641887664794922,False,10466,20946,0.6087427139282227
9,5150:9,firefight,physical,pos,no,physical,-12.78048602702214,11.965361595153809,True,7221,26771,0.7652636766433716
10,5150:10,helicopter,physical,none,yes,physical,-10.087759799178592,3.3285040855407715,True,6630,30727,0.8374466300010681
11,5150:11,helicopter,physical,pos,yes,physical,-14.808467729078743,-17.40146827697754,True,675,77337,0.6372129321098328
12,5150:12,firefight,stereo,unspatialised,yes,-6..+3,-0.5627631941051661,10.072439193725586,False,22835,21039,0.4614645540714264
13,5150:13,patrol,mono,pos,yes,-6..+3,0.0,21.02649688720703,False,10537,8140,0.4999999403953552
14,5150:14,firefight,physical,pos,no,physical,-14.732743838578832,15.888265609741211,True,17674,21078,0.8688842058181763
15,5150:15,apc,stereo,unspatialised,no,-6..+3,-0.8101321975730791,-11.574913024902344,True,752,80086,0.5478662848472595
16,5150:16,firefight,low_ild,none,no,-6..+3,1.129645631302651,15.668968200683594,False,24415,13694,0.6011639833450317
17,5150:17,apc,physical,pos,no,physical,-13.227453999197863,-29.303302764892578,True,224,43209,0.5057042241096497
18,5150:18,drone,physical,neg,no,physical,-11.486793206531814,17.262481689453125,False,16804,16349,0.8720100522041321
19,5150:19,apc,physical,pos,no,physical,-15.753535312528456,-20.229610443115234,True,388,68441,0.5977255702018738
20,5150:20,helicopter,physical,pos,yes,physical,-10.360084420976442,-18.77781867980957,True,857,66051,0.628081202507019
21,5150:21,drone,low_ild,pos,no,-6..+3,-1.4903819974463914,18.19645118713379,False,15148,8808,0.027485935017466545
22,5150:22,helicopter,mono,pos,no,-6..+3,0.0,-17.327857971191406,True,2643,44253,0.4999999701976776
23,5150:23,drone,low_ild,pos,no,-6..+3,-0.688646002835064,21.344079971313477,False,11606,11303,0.5502738952636719
24,5150:24,firefight,physical,pos,no,physical,-15.768672637078264,17.849536895751953,True,19925,17759,0.8627997636795044
25,5150:25,apc,low_ild,neg,no,-6..+3,-4.036003200591708,-28.20418930053711,True,151,49230,0.43803298473358154
26,5150:26,artillery,low_ild,pos,no,-6..+3,-5.195330140505288,18.166309356689453,True,25903,11286,0.3894752562046051
27,5150:27,helicopter,physical,pos,yes,physical,-15.320446655734358,-16.675533294677734,True,356,86521,0.592609703540802
28,5150:28,helicopter,mono,neg,yes,-6..+3,0.0,-17.262788772583008,True,434,78417,0.5
29,5150:29,helicopter,physical,pos,no,physical,-14.204425609768247,-6.265864849090576,True,1128,69522,0.7271460890769958
30,5150:30,drone,physical,pos,no,physical,-12.673504212286765,26.01437759399414,False,19893,2424,0.87940514087677
31,5150:31,artillery,physical,pos,no,physical,-16.126876884670097,11.50147533416748,False,29448,10541,0.9285362362861633
32,5150:32,command_post,physical,pos,no,physical,-12.429744976669639,3.6174087524414062,False,3723,44363,0.8832696676254272
33,5150:33,command_post,mono,pos,no,-6..+3,0.0,5.682405471801758,False,7175,29146,0.5000000596046448
34,5150:34,windy_ridge,physical,pos,yes,physical,-10.481898413937884,4.866762161254883,False,20170,7778,0.8719596266746521
35,5150:35,apc,physical,none,no,physical,-16.277496017611245,-12.943254470825195,True,1518,58583,0.8051402568817139
36,5150:36,firefight,stereo,unspatialised,yes,-6..+3,0.5435210799897696,22.141199111938477,False,23711,2862,0.5685363411903381
37,5150:37,command_post,low_ild,pos,no,-6..+3,0.7783403953749328,1.9051642417907715,False,3778,57076,0.7361997365951538
38,5150:38,patrol,physical,pos,no,physical,-15.745558778164764,22.758047103881836,False,20536,5728,0.9386628270149231
39,5150:39,patrol,physical,pos,no,physical,-11.116473877331472,20.889808654785156,False,12716,4861,0.974138617515564
40,5150:40,drone,low_ild,none,no,-6..+3,-5.77860513095041,3.651543140411377,False,14800,27604,0.9792473316192627
41,5150:41,firefight,low_ild,pos,no,-6..+3,-3.9595280720015182,10.055276870727539,True,15348,13883,0.3982973098754883
42,5150:42,windy_ridge,physical,none,yes,physical,-10.158493602282828,15.243759155273438,False,17869,2850,0.8017398118972778
43,5150:43,artillery,physical,pos,no,physical,-8.736527621928712,10.299702644348145,False,5250,31979,0.760038435459137
44,5150:44,command_post,physical,none,no,physical,-16.1171853178229,5.446531295776367,False,11241,33647,0.9229264259338379
