i,seed,scene,ref_mode,near,wind,m2_bucket,ref_speech_gain_db,snr_db,clipped,n_speech,n_noise,auc_item
0,55:0,command_post,physical,none,no,physical,-18.946006633352788,0.7885083556175232,False,4514,59509,0.8511490225791931
1,55:1,helicopter,physical,none,yes,physical,-11.299731776203995,-4.351905822753906,True,5057,42296,0.8412574529647827
2,55:2,command_post,physical,pos,no,physical,-11.231816822877164,6.557653427124023,False,4198,52602,0.764732837677002
3,55:3,apc,low_ild,pos,no,-6..+3,1.1592718836504368,-4.520381927490234,True,2818,62907,0.17754849791526794
4,55:4,command_post,physical,none,no,physical,-12.65818399549294,10.860986709594727,False,5411,39473,0.8547199964523315
5,55:5,helicopter,physical,none,no,physical,-15.715944144432541,-7.703709125518799,True,1513,74010,0.8229086399078369
6,55:6,apc,low_ild,pos,no,-6..+3,-3.5507879506658604,-13.206647872924805,True,233,89560,0.3752477765083313
7,55:7,command_post,physical,pos,no,physical,-13.365287456170222,9.418184280395508,False,5740,24115,0.8578155636787415
8,55:8,firefight,low_ild,none,no,-6..+3,-4.7685158681302795,28.347267150878906,False,15784,3736,0.6705130934715271
9,55:9,windy_ridge,physical,pos,yes,physical,-9.321046051360419,16.62921714782715,False,9967,2382,0.7874334454536438
10,55:10,command_post,physical,pos,no,physical,-11.186537667588944,8.664454460144043,False,7251,39064,0.8712026476860046
11,55:11,windy_ridge,mono,none,yes,-6..+3,0.0,15.23978042602539,False,10577,2965,0.5000001788139343
12,55:12,patrol,physical,none,yes,physical,-9.404600101916756,22.191204071044922,False,18506,2295,0.9470303654670715
13,55:13,patrol,mono,none,yes,-6..+3,0.0,27.390438079833984,False,14288,1265,0.5
14,55:14,apc,physical,none,no,physical,-14.294093246827718,-0.8323111534118652,True,2597,70854,0.7837005853652954
15,55:15,apc,low_ild,none,no,-6..+3,-3.3536171036351377,-3.8587567806243896,True,2612,33509,0.6328561902046204
16,55:16,drone,physical,pos,no,physical,-9.83325243040668,13.054747581481934,False,17561,4437,0.9178528785705566
17,55:17,drone,mono,none,yes,-6..+3,0.0,13.183192253112793,False,11682,23629,0.5
18,55:18,drone,physical,pos,no,physical,-15.8002527553898,12.718717575073242,False,7741,15611,0.7229953408241272
19,55:19,patrol,physical,none,yes,physical,-16.08769470878366,12.613173484802246,False,9246,16707,0.9270268082618713
20,55:20,command_post,physical,none,no,physical,-11.579889308050092,14.906816482543945,False,20023,31995,0.886949896812439
21,55:21,artillery,physical,pos,no,physical,-11.652246778706129,28.05487632751465,False,16677,2119,0.7558487057685852
22,55:22,firefight,physical,neg,yes,physical,-16.748328284901213,-9.116575241088867,True,8460,8021,0.9048674702644348
23,55:23,firefight,low_ild,pos,yes,-6..+3,-1.4467482622783727,13.713653564453125,True,13360,22093,0.37484732270240784
24,55:24,helicopter,physical,pos,yes,physical,-15.654032965339141,-14.820512771606445,True,1630,70598,0.745776355266571
25,55:25,drone,physical,pos,no,physical,-15.272682178494215,18.9257869720459,False,11124,5056,0.8061902523040771
26,55:26,drone,physical,pos,no,physical,-16.11893662290666,23.330087661743164,False,14065,1291,0.9524850845336914
27,55:27,windy_ridge,physical,neg,yes,physical,-9.98974363557415,-2.0823147296905518,False,7575,10076,0.7414206266403198
28,55:28,windy_ridge,physical,pos,yes,physical,-8.642140966395452,5.308239459991455,False,24936,4920,0.7364833950996399
29,55:29,apc,physical,pos,no,physical,-13.813473952733204,-9.348363876342773,True,696,69144,0.6390323042869568
30,55:30,drone,physical,none,yes,physical,-14.800838673296063,14.083104133605957,False,12407,12913,0.9093999266624451
31,55:31,drone,physical,none,no,physical,-16.851113071417934,19.8197021484375,False,14112,3392,0.9836797714233398
32,55:32,artillery,physical,pos,no,physical,-11.80559819743274,34.01518249511719,True,26723,1283,0.5063292980194092
33,55:33,command_post,mono,none,no,-6..+3,0.0,11.021278381347656,False,3605,29339,0.4999999701976776
34,55:34,patrol,physical,pos,yes,physical,-11.103354011947836,11.996036529541016,False,17413,6537,0.9292886257171631
35,55:35,artillery,physical,none,no,physical,-13.091397960860505,27.123550415039062,False,24314,1565,0.9477695822715759
36,55:36,apc,physical,neg,no,physical,-9.17842489569981,-14.68440055847168,True,1346,45406,0.7762290239334106
37,55:37,command_post,physical,none,no,physical,-9.09947432493582,13.91900634765625,False,9497,17124,0.8567348718643188
38,55:38,helicopter,physical,none,yes,physical,-15.554108828089554,-6.536645889282227,True,7264,27921,0.8980674147605896
39,55:39,apc,physical,pos,no,physical,-8.959697312057944,-7.348913669586182,True,2329,59259,0.6885634064674377
40,55:40,firefight,low_ild,neg,no,-6..+3,-0.07131581640080142,12.738788604736328,False,35749,6747,0.8961918354034424
41,55:41,firefight,physical,pos,yes,physical,-11.150726219089211,23.615936279296875,False,31629,5332,0.5739265084266663
42,55:42,helicopter,physical,pos,no,physical,-13.959262585632292,-16.597959518432617,True,605,69002,0.6636307835578918
43,55:43,command_post,physical,pos,no,physical,-19.477357158390767,15.568506240844727,False,9458,16915,0.9227761626243591
44,55:44,patrol,physical,none,no,physical,-10.081020942764574,25.98157501220703,False,20514,1606,0.8033581972122192
45,55:45,command_post,physical,none,no,physical,-12.801920217782929,2.7233309745788574,False,2090,32833,0.8362075090408325
46,55:46,windy_ridge,mono,none,yes,-6..+3,0.0,-0.3259468376636505,False,14765,10251,0.5
47,55:47,drone,physical,pos,no,physical,-10.09708959697523,-0.34991586208343506,False,13456,5439,0.7587554454803467
48,55:48,apc,physical,none,no,physical,-11.116511257109732,-19.589313507080078,True,832,33927,0.7580904960632324
49,55:49,patrol,physical,pos,no,physical,-12.90327288540464,13.994285583496094,False,13153,4128,0.7614403367042542
50,55:50,command_post,physical,none,no,physical,-11.426445575637715,22.666889190673828,False,15280,5429,0.942101001739502
51,55:51,firefight,physical,pos,no,physical,-12.825287122606603,10.464768409729004,True,3857,31106,0.7373877167701721
52,55:52,artillery,physical,none,no,physical,-10.11517583933162,19.655569076538086,True,29571,3128,0.8706421852111816
53,55:53,firefight,physical,pos,no,physical,-15.450283675772202,11.202615737915039,True,7096,11179,0.8253390192985535
54,55:54,helicopter,stereo,unspatialised,yes,-6..+3,-0.7476309403450152,-17.550676345825195,True,295,77360,0.4863846004009247
55,55:55,drone,physical,pos,no,physical,-11.351887132128411,26.603191375732422,False,14106,732,0.9903517365455627
56,55:56,command_post,physical,neg,no,physical,-10.285342413915359,14.237409591674805,False,16315,11907,0.7928715944290161
57,55:57,patrol,physical,none,yes,physical,-16.196418442716244,15.760936737060547,False,13300,1926,0.9566283226013184
58,55:58,windy_ridge,physical,pos,yes,physical,-11.1415561509679,6.800041198730469,False,21588,6674,0.8954629302024841
59,55:59,firefight,mono,neg,no,-6..+3,0.0,0.9656644463539124,False,6708,14492,0.5000000596046448
60,55:60,command_post,physical,pos,no,physical,-9.960350887030074,2.9581336975097656,False,3431,43402,0.8428301811218262
61,55:61,firefight,physical,neg,no,physical,-13.965567314677099,17.26358985900879,False,11382,12430,0.9356377720832825
62,55:62,firefight,mono,pos,no,-6..+3,0.0,1.680565595626831,False,9442,19744,0.5000000596046448
63,55:63,firefight,physical,pos,no,physical,-10.385674656338473,21.242156982421875,False,9895,11591,0.7309148907661438
64,55:64,drone,physical,pos,no,physical,-14.730720298276044,24.518325805664062,False,19866,2736,0.9371944069862366
65,55:65,artillery,mono,none,no,-6..+3,0.0,24.855127334594727,False,20870,1450,0.5000000596046448
66,55:66,patrol,low_ild,pos,yes,-6..+3,-1.486399485832088,19.142215728759766,False,20235,3666,0.2862640917301178
67,55:67,command_post,physical,none,no,physical,-14.847701368581525,3.087179660797119,False,3246,34306,0.8447365164756775
68,55:68,drone,physical,pos,no,physical,-10.233795963491044,2.46064829826355,False,9290,3701,0.8471852540969849
69,55:69,patrol,physical,pos,no,physical,-16.438448344380824,12.654728889465332,False,9940,5576,0.9445922374725342
70,55:70,firefight,physical,none,no,physical,-11.738739864191725,25.61699676513672,True,17001,1492,0.8683425784111023
71,55:71,patrol,physical,pos,no,physical,-13.897607765303292,24.92600440979004,False,13196,2938,0.8080266714096069
72,55:72,apc,physical,none,no,physical,-14.759446517881052,-3.2621893882751465,False,5122,50398,0.8517133593559265
73,55:73,command_post,physical,neg,no,physical,-12.377505406877354,17.082637786865234,False,8102,12624,0.9526665806770325
74,55:74,firefight,physical,neg,no,physical,-11.113764746050755,-2.097536563873291,True,13211,37645,0.9031042456626892
75,55:75,command_post,physical,pos,no,physical,-10.624293357539287,8.943069458007812,False,11946,12017,0.8709290623664856
76,55:76,firefight,physical,neg,no,physical,-9.79991472190071,-4.5266337394714355,True,8597,19737,0.8980013728141785
77,55:77,patrol,physical,none,no,physical,-11.072874402475833,35.70256042480469,False,20616,280,0.8939270377159119
78,55:78,helicopter,mono,pos,no,-6..+3,0.0,-12.388815879821777,True,1010,57128,0.5
79,55:79,helicopter,physical,neg,yes,physical,-13.239409156901477,-9.87989616394043,True,927,76399,0.7228835821151733
80,55:80,helicopter,physical,neg,no,physical,-16.73796835924984,-17.46415901184082,True,522,72939,0.7217963933944702
81,55:81,command_post,physical,pos,no,physical,-10.499898004412408,11.060831069946289,False,13365,6474,0.6357904076576233
82,55:82,helicopter,physical,pos,yes,physical,-15.398006745225842,-16.360366821289062,True,463,85901,0.5982317924499512
83,55:83,command_post,physical,pos,no,physical,-10.506513986918023,9.223587989807129,False,4126,30251,0.8825178742408752
84,55:84,command_post,physical,pos,no,physical,-9.438696780654553,6.545172214508057,False,8863,32062,0.8560498952865601
85,55:85,command_post,physical,pos,no,physical,-11.947358489788002,8.325960159301758,False,7167,34030,0.8066525459289551
86,55:86,helicopter,physical,neg,yes,physical,-10.959924138144082,-8.7821044921875,True,1304,75230,0.7705115079879761
87,55:87,patrol,physical,none,no,physical,-15.745908026811485,22.87420654296875,False,17202,1477,0.9772585034370422
88,55:88,windy_ridge,physical,none,yes,physical,-11.358652696398785,-0.41186365485191345,False,18029,7999,0.8721184730529785
89,55:89,command_post,low_ild,pos,no,-6..+3,0.3691822329433876,16.943256378173828,False,7654,9911,0.09955054521560669
90,55:90,windy_ridge,low_ild,neg,yes,-6..+3,-5.423581536818418,19.45684051513672,False,10953,1727,0.6396134495735168
91,55:91,patrol,mono,pos,no,-6..+3,0.0,22.30719757080078,False,11698,4622,0.5000000596046448
92,55:92,command_post,physical,pos,no,physical,-10.497817807487515,5.481716156005859,False,6971,15527,0.7906436920166016
93,55:93,artillery,physical,none,no,physical,-15.276324165215478,35.26457595825195,False,25113,405,0.916968584060669
94,55:94,command_post,low_ild,pos,no,-6..+3,-5.346875390253324,6.601477146148682,False,10057,36391,0.4921662211418152
95,55:95,patrol,mono,none,yes,-6..+3,0.0,6.284768104553223,False,10627,6154,0.49999988079071045
96,55:96,firefight,mono,pos,no,-6..+3,0.0,17.57861328125,True,11904,8835,0.5
97,55:97,drone,physical,none,no,physical,-16.440013934901543,22.04507064819336,False,14268,1134,0.9918387532234192
98,55:98,drone,physical,none,no,physical,-14.446352225142647,4.22833251953125,False,6538,37189,0.8797236084938049
99,55:99,apc,physical,pos,no,physical,-13.006714250250845,-15.913310050964355,True,54,94800,0.33218491077423096
100,55:100,firefight,physical,none,no,physical,-12.683198600599184,23.787803649902344,False,18303,2837,0.9482016563415527
101,55:101,artillery,physical,pos,no,physical,-16.659548039130005,4.4361677169799805,False,13341,10380,0.8856963515281677
102,55:102,artillery,physical,pos,no,physical,-18.832557639620504,7.056119918823242,False,11150,12654,0.8947732448577881
103,55:103,command_post,physical,none,no,physical,-15.374354180227392,-2.3898932933807373,False,4355,45683,0.8106023073196411
104,55:104,command_post,low_ild,pos,no,-6..+3,0.4986132187273782,4.315690517425537,False,3634,45852,0.33498796820640564
105,55:105,firefight,mono,none,no,-6..+3,0.0,27.849376678466797,True,14054,1287,0.4999997317790985
106,55:106,patrol,physical,none,no,physical,-12.526419309364385,30.728471755981445,False,27915,685,0.9834935665130615
107,55:107,command_post,physical,none,no,physical,-11.407260655682158,7.863532066345215,False,6670,46081,0.5583804845809937
108,55:108,patrol,physical,none,no,physical,-11.91682143900151,31.818172454833984,False,21400,197,0.97849041223526
109,55:109,patrol,low_ild,pos,no,-6..+3,2.456363891807527,1.8945616483688354,False,7397,15559,0.07503274083137512
110,55:110,drone,physical,pos,no,physical,-12.408404241761843,-4.306000709533691,False,19524,3052,0.9955722093582153
111,55:111,patrol,physical,pos,yes,physical,-11.087285020016957,3.610534191131592,False,11526,7320,0.8482332825660706
112,55:112,artillery,physical,none,no,physical,-13.607257807419828,33.69053649902344,False,37805,606,0.9098096489906311
113,55:113,apc,physical,none,no,physical,-10.277899437994105,-4.544103145599365,False,1381,71217,0.777050256729126
114,55:114,patrol,physical,pos,no,physical,-13.313562728074224,6.863646984100342,False,11900,21627,0.8745694160461426
115,55:115,patrol,physical,pos,no,physical,-11.063921891550137,12.248117446899414,False,5686,17817,0.8301524519920349
116,55:116,firefight,physical,none,no,physical,-12.870111974978567,14.698599815368652,False,12236,20574,0.9114605188369751
117,55:117,artillery,physical,pos,yes,physical,-10.857902973474044,25.491058349609375,True,8442,2635,0.7858932614326477
118,55:118,firefight,mono,none,yes,-6..+3,0.0,25.10418128967285,True,17782,5049,0.4999999701976776
119,55:119,patrol,physical,neg,no,physical,-8.526741639903697,17.060775756835938,False,11185,5784,0.9734902381896973
120,55:120,drone,physical,pos,no,physical,-10.230701137227445,16.218894958496094,False,23589,7602,0.7701267600059509
121,55:121,apc,stereo,unspatialised,no,-6..+3,0.9893681798863341,-23.363344192504883,True,122,84812,0.5037887096405029
122,55:122,command_post,mono,pos,no,-6..+3,0.0,-6.752440452575684,False,1128,51510,0.5
123,55:123,command_post,physical,pos,no,physical,-12.467559133350768,14.045717239379883,False,6497,34163,0.7634255886077881
124,55:124,artillery,physical,pos,no,physical,-15.393070560010518,27.411096572875977,True,28845,1896,0.8608226776123047
125,55:125,drone,physical,pos,no,physical,-10.25543167976955,15.96929931640625,False,9842,10681,0.6745981574058533
126,55:126,firefight,physical,pos,no,physical,-12.558283348869278,7.967207908630371,True,10362,40913,0.611329197883606
127,55:127,patrol,low_ild,pos,no,-6..+3,-5.666374131194793,16.254602432250977,False,13282,4074,0.549614667892456
