i,seed,scene,ref_mode,near,wind,m2_bucket,ref_speech_gain_db,snr_db,clipped,n_speech,n_noise,auc_item
0,7331:0,apc,physical,none,no,physical,-12.461684561220936,8.48314380645752,True,11171,30462,0.8665573000907898
1,7331:1,firefight,low_ild,none,no,-6..+3,-3.72786590378956,20.356792449951172,True,14786,2992,0.794655442237854
2,7331:2,patrol,physical,neg,no,physical,-15.960405631106646,8.736218452453613,False,7182,48058,0.9759883284568787
3,7331:3,drone,physical,none,yes,physical,-16.149175101130645,6.90216588973999,False,9306,19382,0.8828697204589844
4,7331:4,command_post,low_ild,pos,no,-6..+3,0.6331923370717334,-8.745366096496582,False,3283,40964,0.5613529086112976
5,7331:5,windy_ridge,physical,pos,yes,physical,-16.8105886363074,16.450939178466797,False,12124,3817,0.9253359436988831
6,7331:6,firefight,physical,pos,no,physical,-14.64495445018822,15.199485778808594,True,24573,2739,0.767471432685852
7,7331:7,apc,low_ild,neg,no,-6..+3,-2.6545927921884065,-8.385148048400879,True,1833,42044,0.7716929912567139
8,7331:8,patrol,physical,pos,no,physical,-10.531389835912805,27.5424861907959,False,24840,1494,0.7190190553665161
9,7331:9,drone,physical,pos,no,physical,-16.599523198253948,19.61760902404785,False,16869,3790,0.9836108684539795
10,7331:10,windy_ridge,stereo,unspatialised,yes,-6..+3,0.3287554718114123,-8.521373748779297,False,4018,16383,0.3462029993534088
11,7331:11,firefight,mono,none,no,-6..+3,0.0,28.774112701416016,True,20609,3327,0.5
12,7331:12,patrol,physical,pos,yes,physical,-10.716845857972132,13.083860397338867,False,16456,6801,0.694102942943573
13,7331:13,firefight,physical,pos,yes,physical,-15.273354415324114,18.779552459716797,True,21236,6629,0.8349488377571106
14,7331:14,apc,physical,pos,no,physical,-11.597459444003213,-23.102075576782227,True,281,45186,0.5255892276763916
15,7331:15,command_post,physical,neg,no,physical,-13.867237243346331,7.450094699859619,False,4278,52025,0.7843875288963318
16,7331:16,windy_ridge,physical,pos,yes,physical,-12.558839177291688,-6.5899858474731445,False,19515,9994,0.8438478112220764
17,7331:17,command_post,physical,pos,no,physical,-11.853350874752962,4.75173282623291,False,4941,40136,0.5976086854934692
18,7331:18,helicopter,physical,pos,no,physical,-15.294999862056581,-23.116209030151367,True,235,83500,0.494295209646225
19,7331:19,command_post,mono,pos,no,-6..+3,0.0,-13.978686332702637,False,1228,21269,0.5
20,7331:20,drone,low_ild,pos,no,-6..+3,1.1964039428786215,20.207908630371094,False,21614,2789,0.12305344641208649
21,7331:21,firefight,physical,pos,yes,physical,-11.098551750346626,13.876579284667969,True,13468,5956,0.5588014721870422
22,7331:22,helicopter,physical,pos,yes,physical,-13.426786250663667,-19.43246078491211,True,298,65710,0.5591729879379272
23,7331:23,patrol,mono,pos,no,-6..+3,0.0,11.318622589111328,False,5920,24285,0.5
24,7331:24,apc,low_ild,pos,no,-6..+3,1.9789313418199281,-11.732385635375977,True,1117,50969,0.34428390860557556
25,7331:25,patrol,low_ild,pos,no,-6..+3,-0.5044537961989519,15.244451522827148,False,13545,6697,0.2877538502216339
26,7331:26,drone,low_ild,pos,no,-6..+3,-1.4740741610579704,15.817960739135742,False,6219,3989,0.06481652706861496
27,7331:27,apc,physical,pos,no,physical,-14.520385651457634,-10.048187255859375,True,458,87281,0.6275453567504883
28,7331:28,patrol,physical,neg,yes,physical,-13.498108047090817,10.649136543273926,False,21415,6006,0.8890694379806519
29,7331:29,patrol,physical,pos,yes,physical,-15.390126574397776,26.597841262817383,False,13492,1001,0.9062967896461487
30,7331:30,command_post,low_ild,pos,no,-6..+3,-2.8028711451138406,5.850573539733887,False,12637,33644,0.6637647151947021
31,7331:31,firefight,stereo,unspatialised,no,-6..+3,0.00584740132273609,29.168331146240234,True,15535,4831,0.43091925978660583
32,7331:32,firefight,physical,pos,no,physical,-9.480418795221219,12.20962905883789,True,19945,6168,0.8022572994232178
33,7331:33,helicopter,physical,pos,yes,physical,-15.925146913667042,-10.850434303283691,True,326,90663,0.6167678833007812
34,7331:34,artillery,low_ild,pos,no,-6..+3,-0.56099307624552,14.02651596069336,False,16428,9647,0.4260222911834717
35,7331:35,helicopter,low_ild,neg,yes,-6..+3,-4.347425514582479,-13.797325134277344,True,284,72031,0.6229881048202515
36,7331:36,command_post,low_ild,pos,no,-6..+3,-1.8931523631458376,-1.8975616693496704,False,3424,53300,0.19423449039459229
