bucket,id,subset,category,noise_source,impulse_source,by
stationary_-10,0000,v1,v1/stationary,dnsn:door_Freesound_validated_434632_6,,noise
stationary_-10,0001,v1,v1/stationary,dnsn:door_Freesound_validated_275443_0,,noise
stationary_-10,0004,v1,v1/stationary,dnsn:door_Freesound_validated_202515_30,,noise
stationary_-10,0005,v1,v1/stationary,dnsn:door_Freesound_validated_212078_8,,noise
stationary_-10,0006,v1,v1/stationary,dnsn:fan_Freesound_validated_106393_1,,noise
stationary_-10,0008,v1,v1/stationary,dnsn:copy-machine_Freesound_validated_413342_2,,noise
stationary_-10,0010,v1,v1/stationary,dnsn:fan_Freesound_validated_317350_5,,noise
stationary_-10,0012,v1,v1/stationary,dnsn:door_Freesound_validated_110310_28,,noise
stationary_-10,0013,v1,v1/stationary,dnsn:door_Freesound_validated_262594_0,,noise
stationary_-10,0014,v1,v1/stationary,dnsn:door_Freesound_validated_257372_55,,noise
stationary_-10,0018,v1,v1/stationary,dnsn:door_Freesound_validated_165933_1,,noise
stationary_-10,0019,v1,v1/stationary,dnsn:fan_Freesound_validated_457437_2,,noise
stationary_-5,0002,v1,v1/stationary,dnsn:door_Freesound_validated_337105_6,,noise
stationary_-5,0010,v1,v1/stationary,dnsn:fan_Freesound_validated_446319_31,,noise
stationary_-5,0011,v1,v1/stationary,dnsn:door_Freesound_validated_407210_9,,noise
stationary_-5,0012,v1,v1/stationary,dnsn:squeak_squeakyChair_Freesound_validated_414106_2,,noise
stationary_-5,0015,v1,v1/stationary,dnsn:fan_Freesound_validated_330266_1,,noise
stationary_-5,0017,v1,v1/stationary,dnsn:fan_Freesound_validated_446319_47,,noise
stationary_-5,0018,v1,v1/stationary,dnsn:door_Freesound_validated_84608_0,,noise
stationary_0,0002,v1,v1/stationary,dnsn:squeak_squeakyChair_Freesound_validated_414105_9,,noise
stationary_0,0007,v1,v1/stationary,dnsn:breath_spit_Freesound_validated_352353_18,,noise
stationary_0,0009,v1,v1/stationary,dnsn:fan_Freesound_validated_369662_6,,noise
stationary_0,0016,v1,v1/stationary,dnsn:fan_Freesound_validated_164662_1,,noise
stationary_0,0018,v1,v1/stationary,dnsn:door_Freesound_validated_62531_4,,noise
stationary_5,0001,v1,v1/stationary,dnsn:typing_Freesound_validated_237612_16,,noise
stationary_5,0002,v1,v1/stationary,dnsn:fan_Freesound_validated_448924_17,,noise
stationary_5,0005,v1,v1/stationary,dnsn:fan_Freesound_validated_398821_0,,noise
stationary_5,0008,v1,v1/stationary,dnsn:fan_Freesound_validated_185875_2,,noise
stationary_5,0016,v1,v1/stationary,dnsn:door_Freesound_validated_191666_8,,noise
stationary_10,0000,v1,v1/stationary,dnsn:door_Freesound_validated_238332_9,,noise
stationary_10,0001,v1,v1/stationary,dnsn:door_Freesound_validated_238332_17,,noise
stationary_10,0008,v1,v1/stationary,dnsn:fan_Freesound_validated_440122_11,,noise
stationary_10,0010,v1,v1/stationary,dnsn:door_Freesound_validated_191666_8,,noise
stationary_10,0011,v1,v1/stationary,dnsn:fan_Freesound_validated_369662_6,,noise
stationary_10,0012,v1,v1/stationary,dnsn:fan_Freesound_validated_205076_0,,noise
stationary_10,0017,v1,v1/stationary,dnsn:door_Freesound_validated_425183_4,,noise
stationary_10,0019,v1,v1/stationary,dnsn:door_Freesound_validated_202515_50,,noise
stationary_15,0000,v1,v1/stationary,dnsn:fan_Freesound_validated_321907_3,,noise
stationary_15,0002,v1,v1/stationary,dnsn:fan_Freesound_validated_361372_22,,noise
