subset,category,items,buckets,noise_sources,speech_sources
defence,defence/blast_artillery,96,6,84,95
defence,defence/blast_small_arms,96,6,83,91
defence,defence/gunshot,96,6,85,92
defence,defence/helicopter,96,6,61,92
defence,defence/siren,96,6,2,96
defence,defence/vehicle,96,6,63,95
fault,fault/fault_burst_overload,32,2,0,32
fault,fault/fault_burst_p24dB,32,2,0,32
fault,fault/fault_burst_p36dB,32,2,0,32
fault,fault/fault_clip_hard,32,2,0,32
fault,fault/fault_clip_mild,32,2,0,32
fault,fault/fault_none,32,2,0,32
fault,fault/fault_refdesync,32,2,0,32
fault,fault/fault_refdrop_long,32,2,0,32
fault,fault/fault_refgain_-12dB,32,2,0,32
fault,fault/fault_refobstruct,32,2,0,32
heldout,heldout/drone,96,6,45,91
heldout,heldout/noisex92,96,6,3,90
loud,loud/ears_loud,96,6,85,12
v1,v1/changing,120,6,109,112
v1,v1/clean,20,1,0,20
v1,v1/impulsive,120,6,112,117
v1,v1/impulsive+stationary,120,6,112,110
v1,v1/recorded_impulsive,120,6,111,114
v1,v1/recorded_impulsive+stationary,120,6,112,115
v1,v1/stationary,120,6,110,113
v2,v2/apc,48,1,45,48
v2,v2/artillery,48,1,35,47
v2,v2/command_post,48,1,48,48
v2,v2/drone,48,1,48,47
v2,v2/firefight,48,1,37,47
v2,v2/helicopter,48,1,48,46
v2,v2/patrol,48,1,45,48
v2,v2/windy_ridge,48,1,40,47
