source,clip,video,seconds,system,condition,dnsmos_sig,dnsmos_bak,dnsmos_ovrl,atten20_frac,mean_atten_db,gate_mean,burst_frac,limiter_frac
mad_communication,mad:test/052_7,_b8fADe41w0,5.0000,gtcrn_pretrained,mono,1.9291,3.5298,1.7291,0.4480,20.9223,nan,nan,nan
mad_communication,mad:test/052_7,_b8fADe41w0,5.0000,r7,ref_dup,2.5427,3.4162,1.9085,1.0000,46.8798,1.0000,0.0000,0.0000
mad_communication,mad:test/052_7,_b8fADe41w0,5.0000,r7,ref_zero,2.0397,1.8839,1.5238,0.0920,9.9680,0.0000,0.0000,0.0000
mad_communication,mad:test/052_7,_b8fADe41w0,5.0000,raw,mono,1.1811,1.1366,1.0907,0.0000,0.0000,nan,nan,nan
mad_communication,mad:test/079_5,sMnN2xZCook,5.0000,gtcrn_pretrained,mono,1.8456,3.6942,1.6799,0.3736,18.7821,nan,nan,nan
mad_communication,mad:test/079_5,sMnN2xZCook,5.0000,r7,ref_dup,2.4739,3.7497,1.9620,1.0000,46.2313,0.5395,0.2866,0.1274
mad_communication,mad:test/079_5,sMnN2xZCook,5.0000,r7,ref_zero,2.0798,2.9333,1.6738,0.0000,2.7419,0.0000,0.0000,0.0000
mad_communication,mad:test/079_5,sMnN2xZCook,5.0000,raw,mono,2.6380,2.6424,2.0177,0.0000,0.0000,nan,nan,nan
mad_communication,mad:test/080_5,test/080,3.0186,gtcrn_pretrained,mono,1.7976,3.4494,1.5581,0.7867,30.7091,nan,nan,nan
mad_communication,mad:test/080_5,test/080,3.0186,r7,ref_dup,2.3001,3.2214,1.8045,1.0000,40.9616,0.8395,0.0737,0.0000
mad_communication,mad:test/080_5,test/080,3.0186,r7,ref_zero,2.1750,3.4081,1.8706,0.1933,10.6403,0.0000,0.0000,0.0000
mad_communication,mad:test/080_5,test/080,3.0186,raw,mono,1.5621,1.2577,1.2332,0.0000,0.0000,nan,nan,nan
mad_communication,mad:test/094_8,ylkEfC-CoyI,2.0201,gtcrn_pretrained,mono,1.6186,3.6687,1.4083,0.8515,33.1095,nan,nan,nan
mad_communication,mad:test/094_8,ylkEfC-CoyI,2.0201,r7,ref_dup,2.5682,3.3872,1.9516,1.0000,41.0608,0.8203,0.0938,0.0000
