system,id,bucket,noise_class,snr_in,clipped,ref_dropout,impulse_peak_db,fault,speech_source,snr_out,si_sdr,stoi,pesq_wb,dnsmos_sig,dnsmos_bak,dnsmos_ovrl,recovery_s,asr_text
ckpt:runs/vaani_full_r4_ctl/best.pt,0000,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_24758653,10.808553695678711,10.432975769042969,0.9441006287713194,1.7342580556869507,nan,nan,nan,nan,
ckpt:runs/vaani_full_r4_ctl/best.pt,0001,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_24510980,21.2294921875,21.196706771850586,0.9885063374556832,3.649613380432129,nan,nan,nan,nan,
ckpt:runs/vaani_full_r4_ctl/best.pt,0002,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_26687145,6.759333610534668,5.773115158081055,0.8318022117811533,1.3070186376571655,nan,nan,nan,nan,
ckpt:runs/vaani_full_r4_ctl/best.pt,0003,changing_-10,changing,-10.0,True,False,,,cvhi:common_voice_hi_27383943,5.0926995277404785,3.4844253063201904,0.781374297866536,1.388714075088501,nan,nan,nan,nan,
ckpt:runs/vaani_full_r4_ctl/best.pt,0004,changing_-10,changing,-10.0,False,False,,,ls:150-126107-0028,8.525884628295898,7.9982829093933105,0.837552469949985,1.7366774082183838,nan,nan,nan,nan,
ckpt:runs/vaani_full_r4_ctl/best.pt,0005,changing_-10,changing,-10.0,True,False,,,ls:150-132655-0028,6.246880531311035,5.116763114929199,0.7899856263863072,1.383205771446228,nan,nan,nan,nan,
ckpt:runs/vaani_full_r4_ctl/best.pt,0006,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_25948419,5.996969223022461,4.779795169830322,0.8266752802384616,1.4912426471710205,nan,nan,nan,nan,
ckpt:runs/vaani_full_r4_ctl/best.pt,0007,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_26007582,13.839811325073242,14.00028133392334,0.9534936381990705,2.0388636589050293,nan,nan,nan,nan,
ckpt:runs/vaani_full_r4_ctl/best.pt,0008,changing_-10,changing,-10.0,False,False,,,ls:1263-139804-0025,5.639764785766602,4.262811660766602,0.733488623088232,1.231448769569397,nan,nan,nan,nan,
ckpt:runs/vaani_full_r4_ctl/best.pt,0009,changing_-10,changing,-10.0,False,True,,,cvhi:common_voice_hi_24782656,3.9357268810272217,1.8148529529571533,0.6750375814154453,1.2096571922302246,nan,nan,nan,nan,
ckpt:runs/vaani_full_r4_ctl/best.pt,0010,changing_-10,changing,-10.0,False,True,,,cvhi:common_voice_hi_27005244,7.321104049682617,6.450924873352051,0.8878774936033691,2.427574634552002,nan,nan,nan,nan,
ckpt:runs/vaani_full_r4_ctl/best.pt,0011,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_24386849,9.919957160949707,9.587214469909668,0.8533547147633961,1.6503174304962158,nan,nan,nan,nan,
ckpt:runs/vaani_full_r4_ctl/best.pt,0012,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_24228493,12.35883617401123,12.21839427947998,0.9543850602121127,3.022484540939331,nan,nan,nan,nan,
ckpt:runs/vaani_full_r4_ctl/best.pt,0013,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_26008620,14.116817474365234,14.96839714050293,0.8308199650679986,2.1089019775390625,nan,nan,nan,nan,
ckpt:runs/vaani_full_r4_ctl/best.pt,0014,changing_-10,changing,-10.0,False,False,,,ls:1263-139804-0021,14.898981094360352,15.058659553527832,0.9680887826262751,2.672614336013794,nan,nan,nan,nan,
ckpt:runs/vaani_full_r4_ctl/best.pt,0015,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_27005397,9.933469772338867,9.476588249206543,0.9010874776356188,1.2930960655212402,nan,nan,nan,nan,
ckpt:runs/vaani_full_r4_ctl/best.pt,0016,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_24759380,12.431724548339844,12.185775756835938,0.9530496817291774,2.1250722408294678,nan,nan,nan,nan,
ckpt:runs/vaani_full_r4_ctl/best.pt,0017,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_27149958,8.923088073730469,8.355142593383789,0.8600287160329787,1.479907512664795,nan,nan,nan,nan,
ckpt:runs/vaani_full_r4_ctl/best.pt,0018,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_25180517,8.006457328796387,7.260660648345947,0.6915210033539286,1.2559365034103394,nan,nan,nan,nan,
ckpt:runs/vaani_full_r4_ctl/best.pt,0019,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_24759304,7.708653450012207,6.9063262939453125,0.7876477202324031,1.6081254482269287,nan,nan,nan,nan,
ckpt:runs/vaani_full_r4_ctl/best.pt,0020,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_26007743,7.673019886016846,7.065129280090332,0.8435004597545009,1.5234061479568481,nan,nan,nan,nan,
ckpt:runs/vaani_full_r4_ctl/best.pt,0021,changing_-10,changing,-10.0,True,False,,,cvhi:common_voice_hi_27005461,5.830683708190918,4.516772747039795,0.7329576299781349,1.1335383653640747,nan,nan,nan,nan,
ckpt:runs/vaani_full_r4_ctl/best.pt,0022,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_24258355,7.938223361968994,7.497317314147949,0.7902768651819876,1.3451614379882812,nan,nan,nan,nan,
ckpt:runs/vaani_full_r4_ctl/best.pt,0023,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_24386565,13.086496353149414,13.060506820678711,0.7818320447466989,1.492318034172058,nan,nan,nan,nan,
ckpt:runs/vaani_full_r4_ctl/best.pt,0024,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_25154335,16.559947967529297,17.00960350036621,0.8412169148465074,1.6279542446136475,nan,nan,nan,nan,
ckpt:runs/vaani_full_r4_ctl/best.pt,0025,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_25473109,4.1276750564575195,2.006074905395508,0.6823903463050658,1.2278680801391602,nan,nan,nan,nan,
ckpt:runs/vaani_full_r4_ctl/best.pt,0026,changing_-10,changing,-10.0,False,False,,,ls:1263-138246-0015,13.709028244018555,13.634490013122559,0.9688080871081928,2.829864263534546,nan,nan,nan,nan,
ckpt:runs/vaani_full_r4_ctl/best.pt,0027,changing_-10,changing,-10.0,False,False,,,ls:1898-145720-0001,3.969906806945801,1.746612548828125,0.7063402365845795,1.157282829284668,nan,nan,nan,nan,
ckpt:runs/vaani_full_r4_ctl/best.pt,0028,changing_-10,changing,-10.0,True,False,,,cvhi:common_voice_hi_24782650,12.476058959960938,12.224560737609863,0.8389454188045987,1.7497894763946533,nan,nan,nan,nan,
ckpt:runs/vaani_full_r4_ctl/best.pt,0029,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_26007863,5.200477123260498,3.6416401863098145,0.7469353765648552,1.2391765117645264,nan,nan,nan,nan,
ckpt:runs/vaani_full_r4_ctl/best.pt,0030,changing_-10,changing,-10.0,False,False,,,ls:1263-138246-0021,6.185679912567139,5.186169624328613,0.7986878645270818,1.3327739238739014,nan,nan,nan,nan,
ckpt:runs/vaani_full_r4_ctl/best.pt,0031,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_27005577,3.728151798248291,1.3338291645050049,0.7570182529871218,1.259831190109253,nan,nan,nan,nan,
ckpt:runs/vaani_full_r4_ctl/best.pt,0032,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_26967982,8.594121932983398,7.977682113647461,0.8204682365207029,1.4628220796585083,nan,nan,nan,nan,
ckpt:runs/vaani_full_r4_ctl/best.pt,0033,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_25154411,4.94148063659668,3.263413906097412,0.6963824133561356,1.2516992092132568,nan,nan,nan,nan,
ckpt:runs/vaani_full_r4_ctl/best.pt,0034,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_27005346,17.501882553100586,19.18701171875,0.9900788308053593,3.1287424564361572,nan,nan,nan,nan,
ckpt:runs/vaani_full_r4_ctl/best.pt,0035,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_24510981,13.40826416015625,13.588299751281738,0.9289545645678658,2.2001938819885254,nan,nan,nan,nan,
